2019年中国电子书阅读器市场分析报告-市场现状调查与发展商机研究|-|七、凭借内容优势方正大肆进军电子书终端市场 八、方正电子书阅读器市场的制胜战略 第三节 大唐电信科技股份有限公司 一、企业概况 二、企业主要经济指标分析 三、企业盈利能力分析 四|-|中国报告网|-|20小时23分钟前|-|https://news.tianyancha.com/detail/95f0cb412810449ace5907a403862fbb0ee1ea0b.html
弱势下两大形态股将稳稳跑赢大盘|-|然后根据回调情况再定夺可在买入与否。 2、物联网受消息刺激今日走势偏强，龙头高鸿股份、大唐电信、东方电子房里走高，但压力比较大，不调整不介入。 3|-|新浪网|-|2011年05月16日|-|https://news.tianyancha.com/detail/e8b7a716264d45d30e779266a4fd098dd8ad0185.html
5、16   盘中直播|-|10:25 招商地产、万科、中南建设看，地产股有资金在吃，物联网的高鸿股份、大唐电信，东方电子走势看，明显有资金在运作，先板块后个股 10：18 万科启动，反弹纵深发展|-|新浪网|-|2011年05月16日|-|https://news.tianyancha.com/detail/1bac68989416a6147f21c36efbf58ea1fa2d95a5.html
最受主力拉出长阳线的股票|-|特力Ａ、600773 西藏城投、000962 东方钽业、000851 高鸿股份、600198 大唐电信、000736 重庆实业、000960 锡业股份、000682|-|新浪网|-|2011年05月15日|-|https://news.tianyancha.com/detail/0ba512b5e065f182c45cf862092f9b71ed7ed5c3.html
2011年5月16日—盘中同步实战分析|-| 2、前期物联网板块调整还是相当充分的，所以加上政策性扶持，短期利好物联网概念股：大唐电信 600198）、远望谷（002161）、东信和平（002017）等！ 3|-|新浪网|-|2011年05月15日|-|https://news.tianyancha.com/detail/3ea44e5598b96c30dc21867f4a9100f25ab4dc26.html
对当前大盘的一些看法|-|在这之前基本上无法进入投资者视野，比方特力A、运盛实业、西藏城投、高鸿股份、大唐电信、东方钽业、重庆实业等涨停的个股便是如此，其它诸如亚通股份、东方电子、国金证券、大恒科技|-|新浪网|-|2011年05月13日|-|https://news.tianyancha.com/detail/dba6710ef76e1fc14a65f6d1bc467567ca9d937a.html
靴子落地下周股市看涨|-|电力板块跌0.16%领跌。个股方面，两市计有1424家股票上涨、552家股票下跌，其中，大唐电信、美欣达等15家股票涨停，无跌停，西部牧业等6家股票跌5%以上，水泥、医疗器械股跌幅居前|-|新浪网|-|2011年05月13日|-|https://news.tianyancha.com/detail/c1135123c0e2134c69c8604a9e85b9b5339cae33.html
B浪回档结束  短期进入C浪反弹|-|或适当低吸做短期反弹。_ 第二段反弹开始后，热点可能会有变化，而今日涨幅居前的就有不少新面孔，大唐电信、国金证券、东方钽业都比较有代表性，都是近阶段严重超跌，走势很弱的个股，而东方钽业的涨停|-|新浪网|-|2011年05月13日|-|https://news.tianyancha.com/detail/49eafca7827d748539e741e696836d7377057c0f.html
物联网+智能终端大唐力助农村信息更美好|-|同时也凸显出农业及农村信息化的重要。 作为国内信息通信行业的核心企业，大唐电信长期以来始终关注农业及农村信息化建设，推出的智慧农业物联网解决方案|-|维科网|-|2011年05月13日|-|https://news.tianyancha.com/detail/0783d0ec1b590dce78873c2e1c76512bd52f8e11.html
5.11日大盘直播：反弹的目标|-|只是小幅的回落，市场资金流出较为明显，但是网络科技股盘中纷纷有所活跃，长电科技、大唐电信、信维通信、远望谷等等个股目前均同时位居两市快速涨幅榜。 11:05大盘今天跌破了5日线|-|新浪网|-|2011年05月10日|-|https://news.tianyancha.com/detail/0ba811f1e8f3553e145997df2fdfedd2aeb7c65b.html
邬贺铨：国家应明确宣布IPv6商用时间表|-|广东番禺人。1964年毕业于武汉邮电学院。曾任信息产业部电信科学技术研究院副院长兼总工程师、大唐电信集团副总裁。现兼任国家863计划监督委员会副主任、国家973计划专家顾问组成员|-|政府采购信息网|-|2011年04月28日|-|https://news.tianyancha.com/detail/6cdbeffb4882add80e94024feba7c53b8c819e46.html
物联网：下一个IT时代的产业革命|-|"物联网"的概念已经风起云涌,被称之为第三次信息技术革命。... 大唐电信（600198,股吧）此次创设基金重投物联网，将当前的"物联网热"再度推向高潮。|-|维科网|-|2011年04月23日|-|https://news.tianyancha.com/detail/8cb02f36915c97ad10a0d6e041c50958c7395c79.html
机遇凸显ＩＴ业上演”“移动互联网控”|-|成为移动互联网企业面临的重要问题。针对这一问题，投身移动互联网事业的诸多企业动作频繁。 大唐电信董事长兼总裁曹斌表示，目前，大唐电信在移动互联网战略上开始发力移动互联网整体解决方案。据悉|-|中国产业经济信息网|-|2011年04月20日|-|https://news.tianyancha.com/detail/84a7e0a63d1b38892a7bbc5fbd97816c7d6b9eb7.html
3G标准背后的国家利益之争|-|还必须完成关键技术突破并将其产业化，才能真正转化成生产力。这个历史重任，落到了标准的最初提出者大唐电信集团的肩上。 当时，国内面临的形势不容乐观，社会各界普遍对TD-SCDMA标准缺乏信心|-|维科网|-|2011年04月09日|-|https://news.tianyancha.com/detail/bcfaaebe4063d287cf50579a4cdd7462f1b29d48.html
隐者论市（直播4.7）|-| 沪市 *ST山焦、宁波富邦、大成股份停牌一小时。 ST四维、天坛生物、锦州港、锦港B股、大唐电信、ST安彩、西藏药业、景谷林业、华芳纺织、南钢股份、安源股份、冠豪高新、中铁二局、法拉电子|-|新浪网|-|2011年04月07日|-|https://news.tianyancha.com/detail/4bd1a0f0595e06704b9e0ee42ccde984a82787f5.html
在调整中逐步看清未来行情主涨热点|-|捞不到就拉倒了。 我们认为，金融IC卡产业链板块后市将顽强上涨，信不信由你。重点关注：东信和平、大唐电信、晶源电子、恒宝股份、达华智能、长电科技、证通电子等|-|新浪网|-|2011年03月31日|-|https://news.tianyancha.com/detail/5f06fae1bdf8dca38f487fce3cdcea9e004d65aa.html
业界看好大唐IC卡芯片先发优势|-|"大唐电信在国内IC卡芯片制造领域具有较高地位，央行宣布将银行磁条卡逐渐转换为IC卡，可能会增加公司一块蛋糕。"宏源证券分析师李坤阳告诉第一财经日报《财商》记者。 多家券商认为，拥有IC卡芯片制造先进|-|维科网|-|2011年03月28日|-|https://news.tianyancha.com/detail/dcb710c2486a8d5ce7c868f7c77a100f9ce34aad.html
【第一财经日报】金融IC卡市场需求超500亿芯片硬件厂商或受益|-|记者了解到，从上述产业链入手的话，另外三大环节也值得投资者关注和挖掘。 在芯片生产商环节，大唐电信和晶源电子均是不错的投资标的。大唐电信旗下大唐微电子的智能卡芯片在通信领域应用广泛|-|中国投资咨询网|-|2011年03月26日|-|https://news.tianyancha.com/detail/259225d9334ed484b58324d382c462efcab18740.html
中国制造业发起“造心”攻势|-|由于大部分国外厂商并未制定生产TD芯片的计划，这也给国内厂商带来了机遇。其中包括大唐电信［16.98-2.97％］、展讯通信、上海凯明等，这些半导体公司已研发TD芯片两年有余|-|中国产业经济信息网|-|2011年03月24日|-|https://news.tianyancha.com/detail/89875700b9355171a681c231e744414ac37d143b.html
4G技术商用元年 12股受益|-|将给我国主导的TD- LTE技术在国际上的应用，带来了新的机会。主要受益上市公司有大唐电信（600198）、天音控股（000829）、烽火通信、东方通信（600776）、恒信移动|-|新浪网|-|2011年03月15日|-|https://news.tianyancha.com/detail/3c9b8ef71e5b9855f0cbad7067c2aae150001f02.html
聚焦“两会”政策 布局新兴产业|-|002417）、星网锐捷（002396）、三维通信（002115）、中兴通讯（000063）、大唐电信（600198）等受益的上市公司。 3月3日iPad2如期正式发布,华创证券认为超薄更轻|-|新浪网|-|2011年03月06日|-|https://news.tianyancha.com/detail/ac7a3c4c4e61e74ee6f1a14f1ef85a381180efb5.html
刘永独家揭秘-每日私募动向（02.24）|-|乐士网：与北京文艺台合作将联手打造第一视频 据传，辽宁成大：农安县油母页岩总储量达380亿 据传，大唐电信：预计今年3月将完成包括FDD和TDD在内的LTE又一个新版本Release10 据传|-|新浪网|-|2011年02月24日|-|https://news.tianyancha.com/detail/10d5bb6982eacfd7bf370e098881472963f4904b.html
大唐电信转型产品提供商至解决方案提供商|-|有关媒体从大唐电信集团（以下简称"大唐"）了解到，作为4G候选标准TD- LTE产业链上的领军企业，大唐目前拥有产业链上各个环节上的核心技术，未来将联通T|-|维科网|-|2011年02月23日|-|https://news.tianyancha.com/detail/63458f58793a5c9d10d0a0d3bb13a9a534f82075.html
刘永独家揭秘-每日私募动向（02.23）|-|乐士网：与北京文艺台合作将联手打造第一视频 据传，辽宁成大：农安县油母页岩总储量达380亿 据传，大唐电信：预计今年3月将完成包括FDD和TDD在内的LTE又一个新版本Release10 据传|-|新浪网|-|2011年02月23日|-|https://news.tianyancha.com/detail/1e4c648c8d45fa42d7fd40d46bdbc4682f781e50.html
关注中小板快报年报密集发布期的买卖机会|-|配方案让人大失所望,那么肯定有很多人要卖出股票,这个时候对于质地好的公司,应该是比较好的买入机会. 大唐电信的原来的增发应该已经被否决了.对于大唐发电,由于其增发价已经确定,因此是否能成功比较难说,市|-|新浪网|-|2011年02月21日|-|https://news.tianyancha.com/detail/a1f94b6f8ce06f090993c2fdd700270452b18b11.html
【邦尼解读】站在新一轮移动通信技术革命潮头|-|600764）、北纬通信（002148）、中兴通讯（000063）、中创信测（（600485）、大唐电信（600198）、高鸿股份（000851）、上海普天（600680）、中卫国脉|-|新浪网|-|2011年02月19日|-|https://news.tianyancha.com/detail/69d8377e946e805a677c7111f86d0ddf23cf149f.html
刘永独家揭秘-每日私募动向（02.18）|-|前景更加美好。 据传，深赤湾：将披露集团注资方案 据传，大唐电信：2011年将成为TD-LTE商用的元年，成国际4G标准无悬念 据传，广晟有色|-|新浪网|-|2011年02月18日|-|https://news.tianyancha.com/detail/9890d71111ce3e66bb9060e3ba937ef6a96cd876.html
2.17【独家】重要公司信息提前曝光|-|九龙山（600555）海湾电子借壳上市 深赤湾（000022）将披露集团注资方案 大唐电信（600198）2011年将成为TD-LTE商用的元年，成国际4G标准无悬念 秦川集团|-|新浪网|-|2011年02月16日|-|https://news.tianyancha.com/detail/4d32b2fa6987610891fa20c0ce44139ab70c9607.html
物联网陷发展困局，地方政府目光短浅逃避责任|-|这让物联网应用推广困难重重。 《经济参考报》记者调查发现，物联网企业推广应用难具有一定普遍性。大唐电信科技股份有限公司副总裁刘清涛说："一些地方政府的视野非常狭隘，只支持已经做成了的事情|-|中国产业经济信息网|-|2011年02月12日|-|https://news.tianyancha.com/detail/2eea89c0136abd07644e698093c7ea0d599a8733.html
新兴产业七剑下天山：新兴信息|-|通信网络龙头恒宝股份（002104）；通信设备制造龙头新海宜（002089）；物联网龙头大唐电信（600198）；三网融合龙头数源科技（000909）；新型平板显示龙头京东方A|-|新浪网|-|2011年02月01日|-|https://news.tianyancha.com/detail/2f60c0e29420e8fcf65e05aa80c532f085e7d2d3.html
大唐电信董事长真才基：推动商业模式转型|-|日前，记者从大唐电信集团2011年度工作会议上了解到，2010年，大唐电信集团全年经营业绩实现历史最高水平，超额完成全年计划指标。其中合同额同比增长26%|-|维科网|-|2011年01月18日|-|https://news.tianyancha.com/detail/5ce8c1e383705a56d65b0dd9d63ad03c226e61a8.html
强势股杀跌意味着什么|-|----2011年1月11日实盘提醒 一和家家 盘前瞎蒙：周一大唐电信、人福科技疯狂杀跌引爆市场恐慌之后，尾市盘口出现了一个明显的市场特征：两市第一高价股洋河股份放量杀跌至跌停|-|新浪网|-|2011年01月11日|-|https://news.tianyancha.com/detail/6526cd15f925b3ec344bc06deb754495d490f648.html
两大利空精准打击地产银行|-|原因在高价收购双沟酒业，这一收购让两高管身价飞的同时，却让股价坠；像大唐电信，刊登非公开发行A股股票申请未获证监会审核通过，股价应声跌停；像最近最牛的个股广州药业|-|新浪网|-|2011年01月10日|-|https://news.tianyancha.com/detail/07f7d453a3954d21e5978411b78c91235a87bda7.html
黑周一多杀多惨然发生|-|深万科、招商地产等权重地产股和民生银行等银行股带动下，两地股指一度双双翻红。此后，受大唐电信、洋河股份大跌拖累，大盘走低，午后多杀多行为全面发生，生物制药、电子信息板块领跌|-|新浪网|-|2011年01月10日|-|https://news.tianyancha.com/detail/77a0e3c07da16984ffb254db9097176445336491.html
1月10日实盘直播+牛股狙击(滚动更新!!)|-|逐步加仓。 14:50 午后大盘继续震荡整理，银行，地产石油等大盘股积极护盘，不过人福医药、大唐电信的跌停对于做多力量有所打击，二三线品种的疲弱拖累了大盘，面对经济数据的即将披露|-|新浪网|-|2011年01月10日|-|https://news.tianyancha.com/detail/0518c763ab83216a7c29386184178507d38dc7c4.html
物联网相关股|-|2114 132454 13564 10.03 10.07 10.55 9.87 600198 大唐电信 19.61 0.82 4.36% 19.9 19.96 15 45284 8625|-|新浪网|-|2010年12月30日|-|https://news.tianyancha.com/detail/88f0b4279dd9b280ea9e30d43dbc695b3c0b08ac.html
机构推荐的2011年十大金股|-|龙源技术、桑德环境。兴蓉投资、万邦达，钱江水利；九龙电力。 银河证券：东方电气、特变电工、大唐电信、川大智胜、东软集团、桑德环境、伊利股份、王府井、天山股份、格力电器 东方证券：美邦服饰|-|新浪网|-|2010年12月29日|-|https://news.tianyancha.com/detail/26693b9220f2271441065ec6a69c54c67465070b.html
刘永独家揭秘-每日私募动向（12.27）|-|股权 据传，外运发展：拟收购集团外资产 据传，高鸿股份：大唐电信将吸收高鸿的技术类资产，公司将转变为纯粹电子商务上市公司 据传，长春燃气|-|新浪网|-|2010年12月27日|-|https://news.tianyancha.com/detail/81885bcc0badfa5b8d366fc1731eca1e911c7361.html
“家庭手机”的蓝海在哪里？|-|家庭手机的推出并不会蚕食无线固话的市场份额。拿一些具体的产品做个对比，也会佐证上述观点。 大唐电信TDW810H+是中国移动定制的一款无线固话，支持短信发送外，还支持呼叫转移、呼叫保持|-|新浪网|-|2010年12月22日|-|https://news.tianyancha.com/detail/496483e1bef96c46e1d03dd086a789c1e3b474b9.html
射频业产值破百亿10股望井喷|-| 目前，国内与移动支付相关上市公司还有：做芯片设计的大唐电信；从事SIP芯片封装的长电科技； COS制作和卡基制作的东信和平、恒宝股份|-|维科网|-|2010年12月17日|-|https://news.tianyancha.com/detail/e298d4bc0924f6c1fe324580b7ff8e752a65ec56.html
彩虹集团将投资90亿元建LED研发生产基地|-|中国钢研科技集团有限公司、中国中材集团有限公司、中国普天信息产业股份有限公司、彩虹集团公司、大唐电信科技产业集团、中国矿业大学就建设15个战略性新兴产业项目签署了协议，预计投资总额超过|-|维科网|-|2010年12月15日|-|https://news.tianyancha.com/detail/e93f4d43ed85daae8a7de78267c9b18434881d57.html
天通股份布局LED上游建LED蓝宝板项目|-|年新增500台（套）机电专用装备增资项目。公司主要为大唐电信，烽火通信等公司生产ONU，、DSL分离器件以及3G站备等。|-|维科网|-|2010年12月15日|-|https://news.tianyancha.com/detail/9faf1c01853e2704f5bbdab2fbf3edd14cdeeae8.html
大唐电信部署三网融合助广电企业跨越式发展|-|日前，在第三届中国广电行业发展趋势年会暨投融资论坛召开之际，大唐电信三网融合研讨会在北京如期举行。大唐电信与广电行业相关政府官员、专家|-|维科网|-|2010年12月15日|-|https://news.tianyancha.com/detail/27608fcfbe5eab9b34d4af47ce8423431339732c.html
12家国际运营商有意采用中国4G技术标准|-|但已经有了很大改变。"中国工程院院士邬贺铨日前在接受科技日报记者采访时表示。 2002年，时任大唐电信科技产业集团副总裁的邬贺铨，在谈到通信产业发展所面临的技术瓶颈时指出|-|维科网|-|2010年12月10日|-|https://news.tianyancha.com/detail/65e2921ab979228d26f3e5e45274b1f9904950ea.html
刘永独家揭秘-每日私募动向（12.03）|-|银河科技：拟全面转向风电设备，德赛电池游资转战 据传，万力达：东方证券首次给予买入评级 据传，大唐电信：近期公告与某跨国公司战略合作 据传，三安光电|-|新浪网|-|2010年12月03日|-|https://news.tianyancha.com/detail/e8de933c3689949c5d74da7a982e54178daeb2a8.html
11.24【独家】私募内部传闻提前曝光|-| 据传,兴蓉投资（000598）11月22日发布日立与兴蓉集团签署水务合作备忘录 据传,大唐电信（600198）：银河证券发布深度研究报告，首次评级为推荐。 据传,陕鼓动力（601369|-|新浪网|-|2010年11月23日|-|https://news.tianyancha.com/detail/6d715f8a3dbbf5f3cc3d778fd4537e0b235be9d4.html
物联网、光通信股市分析及股票推荐|-| 光通信产业：光纤入户带动巨大产业链 代表公司：烽火通信[40.00 -1.16%]、大唐电信[23.45 -1.76%]、长江通信[16.18 -0.49%] 根据多部委联合印发的|-|维科网|-|2010年11月23日|-|https://news.tianyancha.com/detail/0fba32ab6a071f915579d482cac1ba51dcb618a6.html
大唐电信堪称TD-LTE测试第一集团|-|大唐电信集团副总裁、总工程师陈山枝今天在"新一代宽带无线移动通信国际论坛"上透露，截至目前 ，在工信部电信研究院与中国移动共同组织的TD-LTE技术试验中|-|维科网|-|2010年11月09日|-|https://news.tianyancha.com/detail/87bf863b937e21c7ab5dd49fab6fa42eaedc941d.html
上海物联网产业联盟昨成立 多家上市公司参与|-|上海证券报 ⊙记者 温婷 ○编辑 阮奇 在昨日召开的首届全球物联网产业发展（上海）论坛上，由包括大唐电信（24.82,-0.09,-0.36%）、宝信软件（32.91,2.85,9.48%|-|新浪网|-|2010年11月09日|-|https://news.tianyancha.com/detail/c9b671e1eaa34f0831c675a64f5c605182ab4e51.html
11.05【独家】私募内部传闻提前曝光|-|注明,所有信息来源网络,个别,个股信息可能与会白天的实盘直播重复,请大家多关注实盘信息） 据传,大唐电信：增发处于反向路演中 据传,华帝股份：逆向思维引发改善预期 据传,中国宝安|-|新浪网|-|2010年11月04日|-|https://news.tianyancha.com/detail/db566c23e89509d2b03bb0e2db772bcabf019264.html
11.04【独家】晚间私募信息汇总|-|估值有安全边际 关注集团资产整合动向 据传,三维工程：业绩超预期概率及想象空间大 据传,大唐电信：增发处于反向路演中 亚星客车机构高位接盘 买 入营业部名称: 累计买入金额（元）: （1|-|新浪网|-|2010年11月04日|-|https://news.tianyancha.com/detail/4c3f2e50b0413f0ec58a9b3ae765d7cca221621d.html
11.04【独家】私募内部盘中传闻|-| 盘中信息 仅供参考 不作为买卖依据 来源网络 据传,三维工程：业绩超预期概率及想象空间大 据传,大唐电信：增发处于反向路演中 据传,华帝股份：基本面被诟病 逆向思维引发改善预期 据传,中国联通|-|新浪网|-|2010年11月04日|-|https://news.tianyancha.com/detail/bb81f99f8ec9764961baf0c7eb03bd0d48905159.html
11.04【独家】私募内部传闻提前曝光|-|暴雨导致海口市云龙镇的天胶减产，百亿资金热炒海南天胶减产 中间商囤货豪赌不放储 据传,大唐电信（600198）新一代移动通信（4G）国际标准确定 据传,刚泰控股（600687|-|新浪网|-|2010年11月03日|-|https://news.tianyancha.com/detail/d99a59053abde383f21c1e2cfde88e2b2e0e7ad5.html
三千点整数关支撑较强|-|股价涨逾3%；光大银行强势封涨停，激活银行股做多人气。收盘两市计有杭萧钢构、大唐电信等10家股票涨停，昌九生化、中航光电、中色股份、英唐智控4家跌停。 消息面上|-|新浪网|-|2010年11月03日|-|https://news.tianyancha.com/detail/aa7cce7d40b67645fb08235d591539ad2c0fc761.html
依托10日均线调整走势控盘有度----11月3日|-|意犹未尽吸引市场眼球，信息技术股大唐电信.参股金融股标准股份.稀缺资源股南风化工，低价股长春经开.|-|新浪网|-|2010年11月03日|-|https://news.tianyancha.com/detail/1188289a63c83384f72345ad57f01758d87ebfe8.html
明日一箭（11月4日 星期四）|-|提供参考信息 沪深两市值得重点关注的待涨个股（本箭射出5日内有效） 亚星客车（600213）大唐电信（600198） 中航精机（002013|-|新浪网|-|2010年11月03日|-|https://news.tianyancha.com/detail/006c3ab30a661c4b64a5613f6da0071ba591c22a.html
[独家]抄底龙头股，机会或就在午后！|-| 补涨新热点出现 早上农林股和电信股算稍微涨了一下，但农林股涨幅实在有限，目前没有涨停的，电信股大唐电信这个问题股涨停却没有跟风的。电子股、创业板回落之后，今天热点就是ST|-|新浪网|-|2010年11月03日|-|https://news.tianyancha.com/detail/8e01e46a5c40c89a164d448099466d5b21b1edba.html
周三（11月3日）开盘论市：护盘反扑易折损，多留意|-|如此当然也埋下了后面更大的变数与变化，使到原来还不至于如此快速终结的变化加快终结，务必留意。 大唐电信的上涨的确带来了一定的影响，不过如果从最后补涨的角度来看，也是合理的|-|新浪网|-|2010年11月03日|-|https://news.tianyancha.com/detail/4033823726a83309025cc393e1f91bf01ada0f2e.html
大唐电信董事长兼总裁曹斌：开放式架构打造智能物联世界|-|2010"在江苏无锡隆重召开，与此同时，"2010中国国际物联网（传感网）大会"也同期举行。会上，大唐电信科技股份有限公司董事长兼总裁曹斌发表了题为《开放式架构打造智能物联世界》的主题演讲。他表示|-|维科网|-|2010年11月03日|-|https://news.tianyancha.com/detail/3ef11bfdb8545704592a5ceaabb0b4abe3202132.html
三网融合概念成“当红炸子鸡”|-|比如拥有自身资源的网络提供商中信国安、电广传媒等。同时，一些硬件设备供给商，比如大唐电信等也将从中受益。 股关注 歌华有线、天威视讯前期涨幅不大 在该板块中|-|维科网|-|2010年11月01日|-|https://news.tianyancha.com/detail/485b879cda739b81bfa65243bfcf467b2cd061f7.html
通信展归来话3G：从中国制造到中国创造|-|停留在低层次的"中国制造"阶段。而在现今的3G时代，这一点已有了极大的改观。众所周知，大唐电信集团代表国家提出了TD --SCDMA技术标准|-|新浪网|-|2010年10月29日|-|https://news.tianyancha.com/detail/4e04b3e127cd754d485b9064ea7f58fd9da900ed.html
中国电子产业二十五年大事记|-|1月，中国第一条TFT- LCD生产线在吉林彩晶数码高科显示器公司试运行成功。3月，大唐电信与法国GEMPLUS公司签署芯片销售合同，这是中国首次向欧洲出口国产IC卡芯片。6月|-|维科网|-|2010年10月27日|-|https://news.tianyancha.com/detail/a1877af2e40c0f5551cea9286bec787e461c1218.html
战略新兴产业依然是重点|-|午后再接再厉，远望谷、长电科技、超声电子等强势涨停，厦门信达、东信和平、康强电子、大唐电信、高鸿股份等老牌物联网概念股也有相当涨幅，近期市场不少热点都是事件推动型的|-|新浪网|-|2010年10月26日|-|https://news.tianyancha.com/detail/e0855100b2fde308315be2dee02f2f32b7c3f24e.html
新兴产业机会要区别对待|-|科技股中蕴含的机会众多。而我一直看好的物联网板块近两日持续大涨，像远望谷、大唐电信、厦门信达等都创出了本轮行情的新高，而龙头长电科技虽然因配股没有交易|-|新浪网|-|2010年10月19日|-|https://news.tianyancha.com/detail/16de7b364b7f985546ec608e9313a9c069b3273c.html
10.15【独家】私募内部传闻提前曝光|-|将增添矿业投资与开发 据传,中船股份（600072）：获得海洋局30艘海洋执法船合同 据传,大唐电信（600198）国有银行年底全面发行金融IC卡，市场容量50亿元|-|新浪网|-|2010年10月14日|-|https://news.tianyancha.com/detail/1e29859701d6829922dcf6440d8e7c5a70195d76.html
每日私募动向（10.12）|-|本月底前完成对淮南矿业集团下属的舜立机械公司重组收购。 据传，仁和药业：近日将有重大收购。 据传，大唐电信：入围中国联通智能公交系统项目。 据传,置信电气：非晶变压器市场的空间长期看好|-|新浪网|-|2010年10月12日|-|https://news.tianyancha.com/detail/49e4aa2749ad77c3bdd3275d5c8e47ef6e9e1761.html
大唐电信斥资6378万元增持上海优思16%股份|-|大唐电信（600198）发出公告，公司与自然人顾新惠和熊碧辉签署 《股权收购协议书》，公司以现金收购顾新惠和熊碧辉分别持有的上海优思通信科技有限公司各8%，合计16%的股权|-|维科网|-|2010年09月27日|-|https://news.tianyancha.com/detail/7ba617e88481ac8342226c32a2903ce29e7ea5b1.html
大唐电信与北京市政府签署战略合作协议|-|大唐电信集团与北京市政府签署《北京市人民政府 大唐电信科技产业集团关于建立战略合作的框架协议》。北京市委书记刘淇，市委副书记、市长郭金龙，市委副书记王安顺等领导出席签约仪式。|-|维科网|-|2010年09月03日|-|https://news.tianyancha.com/detail/6db422282f23bde4d2632dcfa88ed1b47e408cf0.html
通信设备商抢滩电子阅读市场|-|据国外媒体近日报道，华为将推出一款名为T62W的电子阅读器。无独有偶，大唐电信科技股份有限公司近日宣布，将与新华社合作"新华频媒"电子阅读项目|-|维科网|-|2010年08月30日|-|https://news.tianyancha.com/detail/3e6885ff033074e104bad134271bdff8c836d1aa.html
电子阅读时代距离我们有多远？|-|当更廉价的电子书籍出现后，对实体网店的冲击可想而知。而电纸书的盛行，更是击中了实体书店的命门。 以大唐电信与中国移动合作推出电子阅读器AirPaper 50T为例，AirPaper|-|新浪网|-|2010年08月18日|-|https://news.tianyancha.com/detail/306f887467cc6c305317270a3d0f330dc582ec4d.html
央企整合三管齐下上市公司“蠢蠢欲动”|-|属研究总院控股有研硅股600206,武汉邮电科学研究院拥有烽火通信600498,电信科学技术研究院为大唐电信600198和高鸿股份000851的控股股东。中信证券600030的一份报告根据上述央企规模|-|中国产业经济信息网|-|2010年08月13日|-|https://news.tianyancha.com/detail/d7115b72e5d0e9f610a4d5aa8d7f0f089a18101e.html
8.13【独家】私募内部传闻提前曝光|-|该项目金额3.4亿元，未来将进入密集结算周期。 据 传,*大唐电信（600198）定向增发近日将上会 据 传,*东华能源（002221）|-|新浪网|-|2010年08月12日|-|https://news.tianyancha.com/detail/91ac2d749d3ddbf6aa735771e85dd6f5e79a4c75.html
全球ICT创新周将在北京举行|-|重点包括云计算，物联网，光通信，LTE等。主要邀请IBM, NSN, Ericsson, 大唐电信，烽火，上海贝尔，华为，中兴等核心企业，与各行业产业链的相关企业|-|维科网|-|2010年08月10日|-|https://news.tianyancha.com/detail/227c11d894502b25e674b277fa6bb27a05659edf.html
七月二十九日实盘分析|-|15:01：收盘啦，15家股票涨停，大盘大震荡后再一次红盘报收，股期、军工概念涨2.2%左右领涨，大唐电信尾市飙升调动市场积极性，两市成交2370多亿元。回顾一下盘前：至于周四，周三放量大涨之后|-|新浪网|-|2010年07月28日|-|https://news.tianyancha.com/detail/18fd80e95414296bc72b323ba0e93fc53de833a5.html
七月二十八日实盘分析|-|尽管股指强势红盘，但深成指表现滞涨，看看地产股和中小板能否再次带领深成指加速上扬。 10:15：大唐电信、长电科技、法因数控、东方雨虹等老龙头飙涨，物联网涨1.13%|-|新浪网|-|2010年07月27日|-|https://news.tianyancha.com/detail/480a81faf76c5a82e5466c53baa14825961bdb96.html
政策主导市场，操作尽量谨慎|-|纯粹要看游资的想法。 元华电、硅宝科技、思源电气等一干电力设备股午后也是处于涨幅前列，大唐电信和恒宝股份等物联网股、汉威电子和宇顺电子等电子信息股、冠豪高新和合兴包装等造纸印刷股|-|新浪网|-|2010年07月13日|-|https://news.tianyancha.com/detail/504d9b19cbd0dfc5e381c5430c58ea7a2c7118bd.html
七月十三日实盘分析|-|硅宝科技稍事回落后再度走强。 13：11：地产、有色金属、环保等领跌板块跌幅没有收窄。物联网龙头大唐电信异动…… 13：46：沈阳机床翻红，中国神话、山煤国际有所回升。股指走高。 13：22|-|新浪网|-|2010年07月13日|-|https://news.tianyancha.com/detail/bfe9b50cc3ec75ec5b9afcc9f235e42720553e77.html
7.13【独家】私募内部传闻提前曝光|-| 据传,联创光电（600363）本周将公告大股东挂牌拍卖股权 据传,大唐电信（600198）新闻出版总署将出台文件和意见规范电子书业发展 据传,晨鸣纸业（000488|-|新浪网|-|2010年07月12日|-|https://news.tianyancha.com/detail/6b5e91f1613092375e94e4d17ba8f274057f04bd.html
7月6日必将井喷向上!|-|长春高新;华神集团;天音控股;长电科技;水晶光电;科大讯飞;置信电气;大唐电信;荣信股份;西藏矿业;登海种业等等都是我今年初给学生选的高成长公司|-|新浪网|-|2010年07月07日|-|https://news.tianyancha.com/detail/03822f95501d84ca1b8b1092a9b980d0eba8f80d.html
7.06【独家】私募内部传闻提前曝光|-|建议重点关注信息感知层相关设备的投资机会， 公司建议关注：远望谷、大唐电信、东信和平、恒宝股份、同方股份、亿纬锂能、中兴通讯、长电科技等。 私募牛股 仅供参考|-|新浪网|-|2010年07月05日|-|https://news.tianyancha.com/detail/68b6fbdb71c23155cb6c4b885de744598231f9bc.html
